Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q8NDL9	CBPC5_HUMAN	reviewed	Cytosolic carboxypeptidase-like protein 5 (EC 3.4.17.-) (ATP/GTP-binding protein-like 5)	AGBL5 CCP5	Homo sapiens (Human)	886
P14384	CBPM_HUMAN	reviewed	Carboxypeptidase M (CPM) (EC 3.4.17.12)	CPM	Homo sapiens (Human)	443
P08218	CEL2B_HUMAN	reviewed	Chymotrypsin-like elastase family member 2B (EC 3.4.21.71) (Elastase-2B)	CELA2B ELA2B	Homo sapiens (Human)	269
Q7L266	ASGL1_HUMAN	reviewed	Isoaspartyl peptidase/L-asparaginase (EC 3.4.19.5) (EC 3.5.1.1) (Asparaginase-like protein 1) (Beta-aspartyl-peptidase) (Isoaspartyl dipeptidase) (L-asparagine amidohydrolase) [Cleaved into: Isoaspartyl peptidase/L-asparaginase alpha chain; Isoaspartyl peptidase/L-asparaginase beta chain]	ASRGL1 ALP CRASH	Homo sapiens (Human)	308
Q53RT3	APRV1_HUMAN	reviewed	Retroviral-like aspartic protease 1 (EC 3.4.23.-) (Skin-specific retroviral-like aspartic protease) (SASPase) (Skin aspartic protease) (TPA-inducible aspartic proteinase-like protein) (TAPS)	ASPRV1 SASP	Homo sapiens (Human)	343
P46736	BRCC3_HUMAN	reviewed	Lys-63-specific deubiquitinase BRCC36 (EC 3.4.19.-) (BRCA1-A complex subunit BRCC36) (BRCA1/BRCA2-containing complex subunit 3) (BRCA1/BRCA2-containing complex subunit 36) (BRISC complex subunit BRCC36)	BRCC3 BRCC36 C6.1A CXorf53	Homo sapiens (Human)	316
P13497	BMP1_HUMAN	reviewed	Bone morphogenetic protein 1 (BMP-1) (EC 3.4.24.19) (Mammalian tolloid protein) (mTld) (Procollagen C-proteinase) (PCP)	BMP1 PCOLC	Homo sapiens (Human)	986
Q13867	BLMH_HUMAN	reviewed	Bleomycin hydrolase (BH) (BLM hydrolase) (BMH) (EC 3.4.22.40)	BLMH	Homo sapiens (Human)	455
P17655	CAN2_HUMAN	reviewed	Calpain-2 catalytic subunit (EC 3.4.22.53) (Calcium-activated neutral proteinase 2) (CANP 2) (Calpain M-type) (Calpain large polypeptide L2) (Calpain-2 large subunit) (Millimolar-calpain) (M-calpain)	CAPN2 CANPL2	Homo sapiens (Human)	700
P20807	CAN3_HUMAN	reviewed	Calpain-3 (EC 3.4.22.54) (Calcium-activated neutral proteinase 3) (CANP 3) (Calpain L3) (Calpain p94) (Muscle-specific calcium-activated neutral protease 3) (New calpain 1) (nCL-1)	CAPN3 CANP3 CANPL3 NCL1	Homo sapiens (Human)	821
Q9GZN4	BSSP4_HUMAN	reviewed	Brain-specific serine protease 4 (BSSP-4) (EC 3.4.21.-) (Serine protease 22) (Serine protease 26) (Tryptase epsilon)	PRSS22 BSSP4 PRSS26 SP001LA UNQ302/PRO343	Homo sapiens (Human)	317
Q9NZP8	C1RL_HUMAN	reviewed	Complement C1r subcomponent-like protein (C1r-LP) (C1r-like protein) (EC 3.4.21.-) (C1r-like serine protease analog protein) (CLSPa)	C1RL C1RL1 C1RLP CLSPA	Homo sapiens (Human)	487
Q6MZZ7	CAN13_HUMAN	reviewed	Calpain-13 (EC 3.4.22.-) (Calcium-activated neutral proteinase 13) (CANP 13)	CAPN13	Homo sapiens (Human)	669
Q6ZSI9	CAN12_HUMAN	reviewed	Calpain-12 (EC 3.4.22.-) (Calcium-activated neutral proteinase 12) (CANP 12)	CAPN12	Homo sapiens (Human)	719
P55211	CASP9_HUMAN	reviewed	Caspase-9 (CASP-9) (EC 3.4.22.62) (Apoptotic protease Mch-6) (Apoptotic protease-activating factor 3) (APAF-3) (ICE-like apoptotic protease 6) (ICE-LAP6) [Cleaved into: Caspase-9 subunit p35; Caspase-9 subunit p10]	CASP9 MCH6	Homo sapiens (Human)	416
Q92851	CASPA_HUMAN	reviewed	Caspase-10 (CASP-10) (EC 3.4.22.63) (Apoptotic protease Mch-4) (FAS-associated death domain protein interleukin-1B-converting enzyme 2) (FLICE2) (ICE-like apoptotic protease 4) [Cleaved into: Caspase-10 subunit p23/17; Caspase-10 subunit p12]	CASP10 MCH4	Homo sapiens (Human)	521
Q9UBR2	CATZ_HUMAN	reviewed	Cathepsin Z (EC 3.4.18.1) (Cathepsin P) (Cathepsin X)	CTSZ	Homo sapiens (Human)	303
O60911	CATL2_HUMAN	reviewed	Cathepsin L2 (EC 3.4.22.43) (Cathepsin U) (Cathepsin V)	CTSV CATL2 CTSL2 CTSU UNQ268/PRO305	Homo sapiens (Human)	334
P09668	CATH_HUMAN	reviewed	Pro-cathepsin H [Cleaved into: Cathepsin H mini chain; Cathepsin H (EC 3.4.22.16); Cathepsin H heavy chain; Cathepsin H light chain]	CTSH CPSB	Homo sapiens (Human)	335
Q8WXQ8	CBPA5_HUMAN	reviewed	Carboxypeptidase A5 (EC 3.4.17.-)	CPA5	Homo sapiens (Human)	436
P48052	CBPA2_HUMAN	reviewed	Carboxypeptidase A2 (EC 3.4.17.15)	CPA2	Homo sapiens (Human)	419
P15169	CBPN_HUMAN	reviewed	Carboxypeptidase N catalytic chain (CPN) (EC 3.4.17.3) (Anaphylatoxin inactivator) (Arginine carboxypeptidase) (Carboxypeptidase N polypeptide 1) (Carboxypeptidase N small subunit) (Kininase-1) (Lysine carboxypeptidase) (Plasma carboxypeptidase B) (Serum carboxypeptidase N) (SCPN)	CPN1 ACBP	Homo sapiens (Human)	458
Q9Y646	CBPQ_HUMAN	reviewed	Carboxypeptidase Q (EC 3.4.17.-) (Lysosomal dipeptidase) (Plasma glutamate carboxypeptidase)	CPQ LCH1 PGCP	Homo sapiens (Human)	472
P08861	CEL3B_HUMAN	reviewed	Chymotrypsin-like elastase family member 3B (EC 3.4.21.70) (Elastase IIIB) (Elastase-3B) (Protease E)	CELA3B ELA3B	Homo sapiens (Human)	270
Q9HC96	CAN10_HUMAN	reviewed	Calpain-10 (EC 3.4.22.-) (Calcium-activated neutral proteinase 10) (CANP 10)	CAPN10 KIAA1845	Homo sapiens (Human)	672
P51878	CASP5_HUMAN	reviewed	Caspase-5 (CASP-5) (EC 3.4.22.58) (ICE(rel)-III) (Protease ICH-3) (Protease TY) [Cleaved into: Caspase-5 subunit p20; Caspase-5 subunit p10]	CASP5 ICH3	Homo sapiens (Human)	434
P29466	CASP1_HUMAN	reviewed	Caspase-1 (CASP-1) (EC 3.4.22.36) (Interleukin-1 beta convertase) (IL-1BC) (Interleukin-1 beta-converting enzyme) (ICE) (IL-1 beta-converting enzyme) (p45) [Cleaved into: Caspase-1 subunit p20; Caspase-1 subunit p10]	CASP1 IL1BC IL1BCE	Homo sapiens (Human)	404
O75976	CBPD_HUMAN	reviewed	Carboxypeptidase D (EC 3.4.17.22) (Metallocarboxypeptidase D) (gp180)	CPD	Homo sapiens (Human)	1380
Q96IY4	CBPB2_HUMAN	reviewed	Carboxypeptidase B2 (EC 3.4.17.20) (Carboxypeptidase U) (CPU) (Plasma carboxypeptidase B) (pCPB) (Thrombin-activable fibrinolysis inhibitor) (TAFI)	CPB2	Homo sapiens (Human)	423
Q66K79	CBPZ_HUMAN	reviewed	Carboxypeptidase Z (CPZ) (EC 3.4.17.-)	CPZ	Homo sapiens (Human)	652
P09871	C1S_HUMAN	reviewed	Complement C1s subcomponent (EC 3.4.21.42) (C1 esterase) (Complement component 1 subcomponent s) [Cleaved into: Complement C1s subcomponent heavy chain; Complement C1s subcomponent light chain]	C1S	Homo sapiens (Human)	688
O15484	CAN5_HUMAN	reviewed	Calpain-5 (EC 3.4.22.-) (Calpain htra-3) (New calpain 3) (nCL-3)	CAPN5 NCL3	Homo sapiens (Human)	640
Q9UMQ6	CAN11_HUMAN	reviewed	Calpain-11 (EC 3.4.22.-) (Calcium-activated neutral proteinase 11) (CANP 11)	CAPN11	Homo sapiens (Human)	739
P42575	CASP2_HUMAN	reviewed	Caspase-2 (CASP-2) (EC 3.4.22.55) (Neural precursor cell expressed developmentally down-regulated protein 2) (NEDD-2) (Protease ICH-1) [Cleaved into: Caspase-2 subunit p18; Caspase-2 subunit p13; Caspase-2 subunit p12]	CASP2 ICH1 NEDD2	Homo sapiens (Human)	452
P07858	CATB_HUMAN	reviewed	Cathepsin B (EC 3.4.22.1) (APP secretase) (APPS) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain]	CTSB CPSB	Homo sapiens (Human)	339
P14091	CATE_HUMAN	reviewed	Cathepsin E (EC 3.4.23.34) [Cleaved into: Cathepsin E form I; Cathepsin E form II]	CTSE	Homo sapiens (Human)	396
P08311	CATG_HUMAN	reviewed	Cathepsin G (CG) (EC 3.4.21.20)	CTSG	Homo sapiens (Human)	255
A8MX76	CAN14_HUMAN	reviewed	Calpain-14 (EC 3.4.22.-) (Calcium-activated neutral proteinase 14) (CANP 14)	CAPN14	Homo sapiens (Human)	684
O75808	CAN15_HUMAN	reviewed	Calpain-15 (EC 3.4.22.-) (Small optic lobes homolog)	CAPN15 SOLH	Homo sapiens (Human)	1086
A6NHC0	CAN8_HUMAN	reviewed	Calpain-8 (EC 3.4.22.53) (New calpain 2) (nCL-2) (Stomach-specific M-type calpain)	CAPN8 NCL2	Homo sapiens (Human)	703
P55212	CASP6_HUMAN	reviewed	Caspase-6 (CASP-6) (EC 3.4.22.59) (Apoptotic protease Mch-2) [Cleaved into: Caspase-6 subunit p18; Caspase-6 subunit p11]	CASP6 MCH2	Homo sapiens (Human)	293
Q9UBX1	CATF_HUMAN	reviewed	Cathepsin F (CATSF) (EC 3.4.22.41)	CTSF	Homo sapiens (Human)	484
Q9UI42	CBPA4_HUMAN	reviewed	Carboxypeptidase A4 (EC 3.4.17.-) (Carboxypeptidase A3)	CPA4 CPA3 UNQ694/PRO1339	Homo sapiens (Human)	421
Q8N4T0	CBPA6_HUMAN	reviewed	Carboxypeptidase A6 (EC 3.4.17.-)	CPA6 CPAH	Homo sapiens (Human)	437
Q8IVL8	CBPO_HUMAN	reviewed	Carboxypeptidase O (CPO) (EC 3.4.17.-)	CPO	Homo sapiens (Human)	374
Q5U5Z8	CBPC2_HUMAN	reviewed	Cytosolic carboxypeptidase 2 (EC 3.4.17.-) (ATP/GTP-binding protein-like 2)	AGBL2 CCP2	Homo sapiens (Human)	902
Q5VU57	CBPC6_HUMAN	reviewed	Cytosolic carboxypeptidase 6 (EC 3.4.17.-) (ATP/GTP-binding protein-like 4)	AGBL4 CCP6	Homo sapiens (Human)	503
P23276	KELL_HUMAN	reviewed	Kell blood group glycoprotein (EC 3.4.24.-) (CD antigen CD238)	KEL	Homo sapiens (Human)	732
Q8N371	KDM8_HUMAN	reviewed	JmjC domain-containing protein 5 (EC 1.14.11.27) (EC 3.4.-.-) (Jumonji domain-containing protein 5) (Lysine-specific demethylase 8)	KDM8 JMJD5	Homo sapiens (Human)	416
Q15040	JOS1_HUMAN	reviewed	Josephin-1 (EC 3.4.19.12) (Josephin domain-containing protein 1)	JOSD1 JSPH1 KIAA0063	Homo sapiens (Human)	202
O43240	KLK10_HUMAN	reviewed	Kallikrein-10 (EC 3.4.21.-) (Normal epithelial cell-specific 1) (Protease serine-like 1)	KLK10 NES1 PRSSL1	Homo sapiens (Human)	276
Q9Y337	KLK5_HUMAN	reviewed	Kallikrein-5 (EC 3.4.21.-) (Kallikrein-like protein 2) (KLK-L2) (Stratum corneum tryptic enzyme)	KLK5 SCTE UNQ570/PRO1132	Homo sapiens (Human)	293
P83111	LACTB_HUMAN	reviewed	Serine beta-lactamase-like protein LACTB, mitochondrial (EC 3.4.-.-)	LACTB MRPL56 UNQ843/PRO1781	Homo sapiens (Human)	547
P06870	KLK1_HUMAN	reviewed	Kallikrein-1 (EC 3.4.21.35) (Kidney/pancreas/salivary gland kallikrein) (Tissue kallikrein)	KLK1	Homo sapiens (Human)	262
P03952	KLKB1_HUMAN	reviewed	Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) (PKK) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]	KLKB1 KLK3	Homo sapiens (Human)	638
Q9UKR3	KLK13_HUMAN	reviewed	Kallikrein-13 (EC 3.4.21.-) (Kallikrein-like protein 4) (KLK-L4)	KLK13 KLKL4	Homo sapiens (Human)	277
Q92876	KLK6_HUMAN	reviewed	Kallikrein-6 (EC 3.4.21.-) (Neurosin) (Protease M) (SP59) (Serine protease 18) (Serine protease 9) (Zyme)	KLK6 PRSS18 PRSS9	Homo sapiens (Human)	244
Q9UBX7	KLK11_HUMAN	reviewed	Kallikrein-11 (hK11) (EC 3.4.21.-) (Hippostasin) (Serine protease 20) (Trypsin-like protease) [Cleaved into: Kallikrein-11 inactive chain 1; Kallikrein-11 inactive chain 2]	KLK11 PRSS20 TLSP UNQ649/PRO1279	Homo sapiens (Human)	282
Q9P0G3	KLK14_HUMAN	reviewed	Kallikrein-14 (hK14) (EC 3.4.21.-) (Kallikrein-like protein 6) (KLK-L6)	KLK14 KLKL6	Homo sapiens (Human)	267
Q9Y5K2	KLK4_HUMAN	reviewed	Kallikrein-4 (EC 3.4.21.-) (Enamel matrix serine proteinase 1) (Kallikrein-like protein 1) (KLK-L1) (Prostase) (Serine protease 17)	KLK4 EMSP1 PRSS17 PSTS	Homo sapiens (Human)	254
O60259	KLK8_HUMAN	reviewed	Kallikrein-8 (hK8) (EC 3.4.21.118) (Neuropsin) (NP) (Ovasin) (Serine protease 19) (Serine protease TADG-14) (Tumor-associated differentially expressed gene 14 protein)	KLK8 NRPN PRSS19 TADG14 UNQ283/PRO322	Homo sapiens (Human)	260
Q9UKR0	KLK12_HUMAN	reviewed	Kallikrein-12 (EC 3.4.21.-) (Kallikrein-like protein 5) (KLK-L5)	KLK12 KLKL5 UNQ669/PRO1303	Homo sapiens (Human)	248
Q9UIQ6	LCAP_HUMAN	reviewed	Leucyl-cystinyl aminopeptidase (Cystinyl aminopeptidase) (EC 3.4.11.3) (Insulin-regulated membrane aminopeptidase) (Insulin-responsive aminopeptidase) (IRAP) (Oxytocinase) (OTase) (Placental leucine aminopeptidase) (P-LAP) [Cleaved into: Leucyl-cystinyl aminopeptidase, pregnancy serum form]	LNPEP OTASE	Homo sapiens (Human)	1025
Q96FZ2	HMCES_HUMAN	reviewed	Embryonic stem cell-specific 5-hydroxymethylcytosine-binding protein (ES cell-specific 5hmC-binding protein) (Putative peptidase SRAPD1) (EC 3.4.-.-) (SRAP domain-containing protein 1)	HMCES C3orf37 DC12 SRAPD1	Homo sapiens (Human)	354
P05981	HEPS_HUMAN	reviewed	Serine protease hepsin (EC 3.4.21.106) (Transmembrane protease serine 1) [Cleaved into: Serine protease hepsin non-catalytic chain; Serine protease hepsin catalytic chain]	HPN TMPRSS1	Homo sapiens (Human)	417
Q8TAC2	JOS2_HUMAN	reviewed	Josephin-2 (EC 3.4.19.12) (Josephin domain-containing protein 2)	JOSD2 SBBI54	Homo sapiens (Human)	188
P49863	GRAK_HUMAN	reviewed	Granzyme K (EC 3.4.21.-) (Fragmentin-3) (Granzyme-3) (NK-tryptase-2) (NK-Tryp-2)	GZMK TRYP2	Homo sapiens (Human)	264
Q9UJ14	GGT7_HUMAN	reviewed	Glutathione hydrolase 7 (EC 3.4.19.13) (Gamma-glutamyltransferase 7) (GGT 7) (EC 2.3.2.2) (Gamma-glutamyltransferase-like 3) (Gamma-glutamyltransferase-like 5) (Gamma-glutamyltranspeptidase 7) [Cleaved into: Glutathione hydrolase 7 heavy chain; Glutathione hydrolase 7 light chain]	GGT7 GGTL3 GGTL5	Homo sapiens (Human)	662
P20718	GRAH_HUMAN	reviewed	Granzyme H (EC 3.4.21.-) (CCP-X) (Cathepsin G-like 2) (CTSGL2) (Cytotoxic T-lymphocyte proteinase) (Cytotoxic serine protease C) (CSP-C)	GZMH CGL2 CTSGL2	Homo sapiens (Human)	246
Q8TCT9	HM13_HUMAN	reviewed	Minor histocompatibility antigen H13 (EC 3.4.23.-) (Intramembrane protease 1) (IMP-1) (IMPAS-1) (hIMP1) (Presenilin-like protein 3) (Signal peptide peptidase)	HM13 H13 IMP1 PSL3 SPP MSTP086	Homo sapiens (Human)	377
Q04756	HGFA_HUMAN	reviewed	Hepatocyte growth factor activator (HGF activator) (HGFA) (EC 3.4.21.-) [Cleaved into: Hepatocyte growth factor activator short chain; Hepatocyte growth factor activator long chain]	HGFAC	Homo sapiens (Human)	655
P10144	GRAB_HUMAN	reviewed	Granzyme B (EC 3.4.21.79) (C11) (CTLA-1) (Cathepsin G-like 1) (CTSGL1) (Cytotoxic T-lymphocyte proteinase 2) (Lymphocyte protease) (Fragmentin-2) (Granzyme-2) (Human lymphocyte protein) (HLP) (SECT) (T-cell serine protease 1-3E)	GZMB CGL1 CSPB CTLA1 GRB	Homo sapiens (Human)	247
P12544	GRAA_HUMAN	reviewed	Granzyme A (EC 3.4.21.78) (CTL tryptase) (Cytotoxic T-lymphocyte proteinase 1) (Fragmentin-1) (Granzyme-1) (Hanukkah factor) (H factor) (HF)	GZMA CTLA3 HFSP	Homo sapiens (Human)	262
P51124	GRAM_HUMAN	reviewed	Granzyme M (EC 3.4.21.-) (Met-1 serine protease) (Hu-Met-1) (Met-ase) (Natural killer cell granular protease)	GZMM MET1	Homo sapiens (Human)	257
Q96T52	IMP2L_HUMAN	reviewed	Mitochondrial inner membrane protease subunit 2 (EC 3.4.21.-) (IMP2-like protein)	IMMP2L	Homo sapiens (Human)	175
Q92743	HTRA1_HUMAN	reviewed	Serine protease HTRA1 (EC 3.4.21.-) (High-temperature requirement A serine peptidase 1) (L56) (Serine protease 11)	HTRA1 HTRA PRSS11	Homo sapiens (Human)	480
O43464	HTRA2_HUMAN	reviewed	Serine protease HTRA2, mitochondrial (EC 3.4.21.108) (High temperature requirement protein A2) (HtrA2) (Omi stress-regulated endoprotease) (Serine protease 25) (Serine proteinase OMI)	HTRA2 OMI PRSS25	Homo sapiens (Human)	458
P83110	HTRA3_HUMAN	reviewed	Serine protease HTRA3 (EC 3.4.21.-) (High-temperature requirement factor A3) (Pregnancy-related serine protease)	HTRA3 PRSP	Homo sapiens (Human)	453
P83105	HTRA4_HUMAN	reviewed	Serine protease HTRA4 (EC 3.4.21.-) (High-temperature requirement factor A4)	HTRA4	Homo sapiens (Human)	476
Q96LU5	IMP1L_HUMAN	reviewed	Mitochondrial inner membrane protease subunit 1 (EC 3.4.21.-) (IMP1-like protein)	IMMP1L	Homo sapiens (Human)	166
P14735	IDE_HUMAN	reviewed	Insulin-degrading enzyme (EC 3.4.24.56) (Abeta-degrading protease) (Insulin protease) (Insulinase) (Insulysin)	IDE	Homo sapiens (Human)	1019
O75317	UBP12_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 12 (EC 3.4.19.12) (Deubiquitinating enzyme 12) (Ubiquitin thioesterase 12) (Ubiquitin-hydrolyzing enzyme 1) (Ubiquitin-specific-processing protease 12)	USP12 UBH1 USP12L1	Homo sapiens (Human)	370
Q93008	USP9X_HUMAN	reviewed	Probable ubiquitin carboxyl-terminal hydrolase FAF-X (EC 3.4.19.12) (Deubiquitinating enzyme FAF-X) (Fat facets in mammals) (hFAM) (Fat facets protein-related, X-linked) (Ubiquitin thioesterase FAF-X) (Ubiquitin-specific protease 9, X chromosome) (Ubiquitin-specific-processing protease FAF-X)	USP9X DFFRX FAM USP9	Homo sapiens (Human)	2570
Q2T9J0	TYSD1_HUMAN	reviewed	Peroxisomal leader peptide-processing protease (EC 3.4.21.-) (Trypsin domain-containing protein 1) [Cleaved into: Peroxisomal leader peptide-processing protease, 15 kDa form; Peroxisomal leader peptide-processing protease, 45 kDa form]	TYSND1	Homo sapiens (Human)	566
Q9P275	UBP36_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 36 (EC 3.4.19.12) (Deubiquitinating enzyme 36) (Ubiquitin thioesterase 36) (Ubiquitin-specific-processing protease 36)	USP36 KIAA1453	Homo sapiens (Human)	1123
P62068	UBP46_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 46 (EC 3.4.19.12) (Deubiquitinating enzyme 46) (Ubiquitin thioesterase 46) (Ubiquitin-specific-processing protease 46)	USP46	Homo sapiens (Human)	366
Q70CQ3	UBP30_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 30 (EC 3.4.19.12) (Deubiquitinating enzyme 30) (Ubiquitin thioesterase 30) (Ubiquitin-specific-processing protease 30) (Ub-specific protease 30)	USP30	Homo sapiens (Human)	517
Q9Y2K6	UBP20_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 20 (EC 3.4.19.12) (Deubiquitinating enzyme 20) (Ubiquitin thioesterase 20) (Ubiquitin-specific-processing protease 20) (VHL-interacting deubiquitinating enzyme 2) (hVDU2)	USP20 KIAA1003 LSFR3A VDU2	Homo sapiens (Human)	914
Q9P2H5	UBP35_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 35 (EC 3.4.19.12) (Deubiquitinating enzyme 35) (Ubiquitin thioesterase 35) (Ubiquitin-specific-processing protease 35)	USP35 KIAA1372 USP34	Homo sapiens (Human)	1018
Q9UHP3	UBP25_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 25 (EC 3.4.19.12) (Deubiquitinating enzyme 25) (USP on chromosome 21) (Ubiquitin thioesterase 25) (Ubiquitin-specific-processing protease 25)	USP25 USP21	Homo sapiens (Human)	1055
Q9BXU7	UBP26_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 26 (EC 3.4.19.12) (Deubiquitinating enzyme 26) (Ubiquitin thioesterase 26) (Ubiquitin-specific-processing protease 26)	USP26	Homo sapiens (Human)	913
Q9Y5T5	UBP16_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 16 (EC 3.4.19.12) (Deubiquitinating enzyme 16) (Ubiquitin thioesterase 16) (Ubiquitin-processing protease UBP-M) (Ubiquitin-specific-processing protease 16)	USP16 MSTP039	Homo sapiens (Human)	823
P51784	UBP11_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 11 (EC 3.4.19.12) (Deubiquitinating enzyme 11) (Ubiquitin thioesterase 11) (Ubiquitin-specific-processing protease 11)	USP11 UHX1	Homo sapiens (Human)	963
Q9HBJ7	UBP29_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 29 (EC 3.4.19.12) (Deubiquitinating enzyme 29) (Ubiquitin thioesterase 29) (Ubiquitin-specific-processing protease 29)	USP29	Homo sapiens (Human)	922
Q9UMW8	UBP18_HUMAN	reviewed	Ubl carboxyl-terminal hydrolase 18 (EC 3.4.19.-) (43 kDa ISG15-specific protease) (hUBP43) (ISG15-specific-processing protease) (Ubl thioesterase 18)	USP18 ISG43	Homo sapiens (Human)	372
Q8TEY7	UBP33_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 33 (EC 3.4.19.12) (Deubiquitinating enzyme 33) (Ubiquitin thioesterase 33) (Ubiquitin-specific-processing protease 33) (VHL-interacting deubiquitinating enzyme 1) (hVDU1)	USP33 KIAA1097 VDU1	Homo sapiens (Human)	942
Q6R6M4	U17L2_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 17 (USP17) (EC 3.4.19.12) (Deubiquitinating enzyme 17-like protein 2) (Deubiquitinating protein 3) (DUB-3) (Ubiquitin carboxyl-terminal hydrolase 17-like protein 2) (Ubiquitin thioesterase 17-like protein 2) (Ubiquitin-specific-processing protease 17-like protein 2)	USP17L2 DUB3 USP17 USP17H USP17I USP17J USP17K USP17L USP17M	Homo sapiens (Human)	530
D6RBQ6	U17LH_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 17-like protein 17 (EC 3.4.19.12)	USP17L17	Homo sapiens (Human)	530
D6RJB6	U17LK_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 17-like protein 20 (EC 3.4.19.12)	USP17L20	Homo sapiens (Human)	530
D6R901	U17LL_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 17-like protein 21 (EC 3.4.19.12)	USP17L21	Homo sapiens (Human)	530
Q86T82	UBP37_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 37 (EC 3.4.19.12) (Deubiquitinating enzyme 37) (Ubiquitin thioesterase 37) (Ubiquitin-specific-processing protease 37)	USP37 KIAA1594	Homo sapiens (Human)	979
Q9Y6I4	UBP3_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 3 (EC 3.4.19.12) (Deubiquitinating enzyme 3) (Ubiquitin thioesterase 3) (Ubiquitin-specific-processing protease 3)	USP3	Homo sapiens (Human)	520
Q3LFD5	UBP41_HUMAN	reviewed	Putative ubiquitin carboxyl-terminal hydrolase 41 (EC 3.4.19.12) (Deubiquitinating enzyme 41) (Ubiquitin thioesterase 41) (Ubiquitin-specific-processing protease 41)	USP41	Homo sapiens (Human)	358
Q9Y5K5	UCHL5_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase isozyme L5 (UCH-L5) (EC 3.4.19.12) (Ubiquitin C-terminal hydrolase UCH37) (Ubiquitin thioesterase L5)	UCHL5 UCH37 AD-019 CGI-70	Homo sapiens (Human)	329
C9JVI0	U17LB_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 17-like protein 11 (EC 3.4.19.12)	USP17L11	Homo sapiens (Human)	530
A6NNY8	UBP27_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 27 (EC 3.4.19.12) (Deubiquitinating enzyme 27) (Ubiquitin carboxyl-terminal hydrolase 22-like) (Ubiquitin thioesterase 27) (Ubiquitin-specific-processing protease 27) (X-linked ubiquitin carboxyl-terminal hydrolase 27)	USP27X USP22L USP27	Homo sapiens (Human)	438
Q70EL4	UBP43_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 43 (EC 3.4.19.12) (Deubiquitinating enzyme 43) (Ubiquitin thioesterase 43) (Ubiquitin-specific-processing protease 43)	USP43	Homo sapiens (Human)	1123
O75604	UBP2_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 2 (EC 3.4.19.12) (41 kDa ubiquitin-specific protease) (Deubiquitinating enzyme 2) (Ubiquitin thioesterase 2) (Ubiquitin-specific-processing protease 2)	USP2 UBP41	Homo sapiens (Human)	605
Q92995	UBP13_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 13 (EC 3.4.19.12) (Deubiquitinating enzyme 13) (Isopeptidase T-3) (ISOT-3) (Ubiquitin thioesterase 13) (Ubiquitin-specific-processing protease 13)	USP13 ISOT3	Homo sapiens (Human)	863
O94782	UBP1_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 1 (EC 3.4.19.12) (Deubiquitinating enzyme 1) (hUBP) (Ubiquitin thioesterase 1) (Ubiquitin-specific-processing protease 1)	USP1	Homo sapiens (Human)	785
C9JJH3	U17LA_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 17-like protein 10 (EC 3.4.19.12)	USP17L10	Homo sapiens (Human)	530
C9JLJ4	U17LD_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 17-like protein 13 (EC 3.4.19.12)	USP17L13	Homo sapiens (Human)	530
Q70CQ2	UBP34_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 34 (EC 3.4.19.12) (Deubiquitinating enzyme 34) (Ubiquitin thioesterase 34) (Ubiquitin-specific-processing protease 34)	USP34 KIAA0570 KIAA0729	Homo sapiens (Human)	3546
Q9Y4E8	UBP15_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 15 (EC 3.4.19.12) (Deubiquitinating enzyme 15) (Ubiquitin thioesterase 15) (Ubiquitin-specific-processing protease 15) (Unph-2) (Unph4)	USP15 KIAA0529	Homo sapiens (Human)	981
